image_id,concept_key,name_en,category,cultural_context,filename,image_size,style,background_style,prompt_en,reusable_for,linked_sense_count,prompt_template_version
IMG_ABSTRACT_ANGRY,abstract_angry,Angry,symbol_abstract,universal,img__abstract_angry__v1.webp,1024x1024,digital_art_flat_v3,soft neutral gradient,"Abstract symbolic representation of angry, dark storm cloud symbol with a single lightning bolt, modern flat digital art, vector-inspired clean shapes, soft gradients, centered composition, soft neutral gradient background, minimal and uncluttered, universally recognizable symbol, no text, no letters, no numerals, no logos, no watermark, no border",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,prompt_templates_v2
IMG_ABSTRACT_HAPPY,abstract_happy,Happy,symbol_abstract,universal,img__abstract_happy__v1.webp,1024x1024,digital_art_flat_v3,soft neutral gradient,"Abstract symbolic representation of happy, warm yellow sun symbol with soft radiating beams, modern flat digital art, vector-inspired clean shapes, soft gradients, centered composition, soft neutral gradient background, minimal and uncluttered, universally recognizable symbol, no text, no letters, no numerals, no logos, no watermark, no border",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,prompt_templates_v2
IMG_ABSTRACT_LOVE,abstract_love,Love,symbol_abstract,universal,img__abstract_love__v1.webp,1024x1024,digital_art_flat_v3,soft neutral gradient,"Abstract symbolic representation of love, glowing red heart with soft radiating light rays, modern flat digital art, vector-inspired clean shapes, soft gradients, centered composition, soft neutral gradient background, minimal and uncluttered, universally recognizable symbol, no text, no letters, no numerals, no logos, no watermark, no border",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,prompt_templates_v2
IMG_ABSTRACT_THANK_YOU,abstract_thank_you,Thank You,symbol_abstract,universal,img__abstract_thank_you__v1.webp,1024x1024,digital_art_flat_v3,minimal room corner pastel,"Abstract symbolic representation of thank you, open hand with a small heart-glow symbol above it, modern flat digital art, vector-inspired clean shapes, soft gradients, centered composition, minimal room corner pastel background, minimal and uncluttered, universally recognizable symbol, no text, no letters, no numerals, no logos, no watermark, no border",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,prompt_templates_v2
IMG_ACTION_BE_ABLE_TO,action_be_able_to,Be Able To,action_scene,universal,img__action_be_able_to__v1.webp,1024x1024,digital_art_flat_v3,simple indoor scene minimal props,"A simplified person performing the action ""be able to"" in side view, modern flat digital art, vector-inspired clean shapes, soft gradients, clear gesture and body language, centered composition, simple indoor scene minimal props background, minimal and uncluttered, no facial features, no text, no letters, no numerals, no logos, no watermark, no border",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,prompt_templates_v2
IMG_ACTION_MAKE_A_PHONE_CALL,action_make_a_phone_call,Make A Phone Call,action_scene,universal,img__action_make_a_phone_call__v1.webp,1024x1024,digital_art_flat_v3,soft outdoor neutral scene,"A simplified person performing the action ""make a phone call"" in side view, modern flat digital art, vector-inspired clean shapes, soft gradients, clear gesture and body language, centered composition, soft outdoor neutral scene background, minimal and uncluttered, no facial features, no text, no letters, no numerals, no logos, no watermark, no border",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,prompt_templates_v2
IMG_ACTION_TO_ARRIVE,action_to_arrive,To Arrive,action_scene,universal,img__action_to_arrive__v1.webp,1024x1024,digital_art_flat_v3,soft outdoor neutral scene,"A simplified person performing the action ""arrive"" in side view, modern flat digital art, vector-inspired clean shapes, soft gradients, clear gesture and body language, centered composition, soft outdoor neutral scene background, minimal and uncluttered, no facial features, no text, no letters, no numerals, no logos, no watermark, no border",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,2,prompt_templates_v2
IMG_ACTION_TO_ASK,action_to_ask,To Ask,action_scene,universal,img__action_to_ask__v1.webp,1024x1024,digital_art_flat_v3,simple indoor scene minimal props,"A simplified person performing the action ""ask"" in side view, modern flat digital art, vector-inspired clean shapes, soft gradients, clear gesture and body language, centered composition, simple indoor scene minimal props background, minimal and uncluttered, no facial features, no text, no letters, no numerals, no logos, no watermark, no border",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,prompt_templates_v2
IMG_ACTION_TO_BE,action_to_be,To Be,action_scene,universal,img__action_to_be__v1.webp,1024x1024,digital_art_flat_v3,minimal office-like scene,"A simplified person performing the action ""be"" in side view, modern flat digital art, vector-inspired clean shapes, soft gradients, clear gesture and body language, centered composition, minimal office-like scene background, minimal and uncluttered, no facial features, no text, no letters, no numerals, no logos, no watermark, no border",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,prompt_templates_v2
IMG_ACTION_TO_BE_CALLED,action_to_be_called,To Be Called,action_scene,universal,img__action_to_be_called__v1.webp,1024x1024,digital_art_flat_v3,clean studio with floor shadow,"A simplified person performing the action ""be called"" in side view, modern flat digital art, vector-inspired clean shapes, soft gradients, clear gesture and body language, centered composition, clean studio with floor shadow background, minimal and uncluttered, no facial features, no text, no letters, no numerals, no logos, no watermark, no border",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,prompt_templates_v2
