image_id,concept_key,name_en,category,cultural_context,filename,image_size,style,background_style,prompt_en,reusable_for,linked_sense_count,prompt_template_version
IMG_ABSTRACT_ANGRY,abstract_angry,Angry,symbol_abstract,universal,img__abstract_angry__v1.webp,1024x1024,digital_art_flat_v3,soft neutral gradient,"Symbolic representation of anger: dark storm cloud with sharp lightning accent, clean premium digital art, smooth gradients, centered composition, soft light-neutral background, high clarity, minimal elegant design, not cartoon, no text, no letters, no numerals, no logos, no watermark, no border, output size 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,v3_reference_style_size_2026-02-15
IMG_ABSTRACT_HAPPY,abstract_happy,Happy,symbol_abstract,universal,img__abstract_happy__v1.webp,1024x1024,digital_art_flat_v3,soft neutral gradient,"Symbolic representation of happiness: warm glowing sun with gentle radiating beams, clean premium digital art, smooth gradients, centered composition, soft light-neutral background, high clarity, minimal elegant design, not cartoon, no text, no letters, no numerals, no logos, no watermark, no border, output size 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,v3_reference_style_size_2026-02-15
IMG_ABSTRACT_LOVE,abstract_love,Love,symbol_abstract,universal,img__abstract_love__v1.webp,1024x1024,digital_art_flat_v3,soft neutral gradient,"Abstract symbolic representation of ""love"", clear universal metaphor, clean modern digital illustration, soft gradients, centered composition, soft neutral gradient background, professional educational visual style, minimal clutter, not cartoon, no text, no letters, no numerals, no logos, no watermark, no border, output size 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,v3_reference_style_size_2026-02-15
IMG_ABSTRACT_THANK_YOU,abstract_thank_you,Thank You,symbol_abstract,universal,img__abstract_thank_you__v1.webp,1024x1024,digital_art_flat_v3,minimal room corner pastel,"Abstract symbolic representation of ""thank you"", clear universal metaphor, clean modern digital illustration, soft gradients, centered composition, minimal room corner pastel background, professional educational visual style, minimal clutter, not cartoon, no text, no letters, no numerals, no logos, no watermark, no border, output size 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,v3_reference_style_size_2026-02-15
IMG_ACTION_BE_ABLE_TO,action_be_able_to,Be Able To,action_scene,universal,img__action_be_able_to__v1.webp,1024x1024,digital_art_flat_v3,simple indoor scene minimal props,"An adult person performing ""be able to"" in a natural dynamic pose, clean modern digital illustration, semi-realistic proportions, soft gradients, centered composition, simple indoor scene minimal props background, subtle natural facial expression, professional educational visual style, minimal clutter, not cartoon, not chibi, not mascot, no text, no letters, no numerals, no logos, no watermark, no border, output size 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,v3_reference_style_size_2026-02-15
IMG_ACTION_MAKE_A_PHONE_CALL,action_make_a_phone_call,Make A Phone Call,action_scene,universal,img__action_make_a_phone_call__v1.webp,1024x1024,digital_art_flat_v3,soft outdoor neutral scene,"An adult person performing ""make a phone call"" in a natural dynamic pose, clean modern digital illustration, semi-realistic proportions, soft gradients, centered composition, soft outdoor neutral scene background, subtle natural facial expression, professional educational visual style, minimal clutter, not cartoon, not chibi, not mascot, no text, no letters, no numerals, no logos, no watermark, no border, output size 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,v3_reference_style_size_2026-02-15
IMG_ACTION_TO_ARRIVE,action_to_arrive,To Arrive,action_scene,universal,img__action_to_arrive__v1.webp,1024x1024,digital_art_flat_v3,soft outdoor neutral scene,"An adult person performing ""to arrive"" in a natural dynamic pose, clean modern digital illustration, semi-realistic proportions, soft gradients, centered composition, soft outdoor neutral scene background, subtle natural facial expression, professional educational visual style, minimal clutter, not cartoon, not chibi, not mascot, no text, no letters, no numerals, no logos, no watermark, no border, output size 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,2,v3_reference_style_size_2026-02-15
IMG_ACTION_TO_ASK,action_to_ask,To Ask,action_scene,universal,img__action_to_ask__v1.webp,1024x1024,digital_art_flat_v3,simple indoor scene minimal props,"An adult person performing ""to ask"" in a natural dynamic pose, clean modern digital illustration, semi-realistic proportions, soft gradients, centered composition, simple indoor scene minimal props background, subtle natural facial expression, professional educational visual style, minimal clutter, not cartoon, not chibi, not mascot, no text, no letters, no numerals, no logos, no watermark, no border, output size 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,v3_reference_style_size_2026-02-15
IMG_ACTION_TO_BE,action_to_be,To Be,action_scene,universal,img__action_to_be__v1.webp,1024x1024,digital_art_flat_v3,minimal office-like scene,"An adult person performing ""to be"" in a natural dynamic pose, clean modern digital illustration, semi-realistic proportions, soft gradients, centered composition, minimal office-like scene background, subtle natural facial expression, professional educational visual style, minimal clutter, not cartoon, not chibi, not mascot, no text, no letters, no numerals, no logos, no watermark, no border, output size 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,v3_reference_style_size_2026-02-15
IMG_ACTION_TO_BE_CALLED,action_to_be_called,To Be Called,action_scene,universal,img__action_to_be_called__v1.webp,1024x1024,digital_art_flat_v3,clean studio with floor shadow,"An adult person performing ""to be called"" in a natural dynamic pose, clean modern digital illustration, semi-realistic proportions, soft gradients, centered composition, clean studio with floor shadow background, subtle natural facial expression, professional educational visual style, minimal clutter, not cartoon, not chibi, not mascot, no text, no letters, no numerals, no logos, no watermark, no border, output size 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,v3_reference_style_size_2026-02-15
IMG_ACTION_TO_BE_ILL,action_to_be_ill,To Be Ill,action_scene,universal,img__action_to_be_ill__v1.webp,1024x1024,digital_art_flat_v3,soft outdoor neutral scene,"An adult person performing ""to be ill"" in a natural dynamic pose, clean modern digital illustration, semi-realistic proportions, soft gradients, centered composition, soft outdoor neutral scene background, subtle natural facial expression, professional educational visual style, minimal clutter, not cartoon, not chibi, not mascot, no text, no letters, no numerals, no logos, no watermark, no border, output size 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,v3_reference_style_size_2026-02-15
IMG_ACTION_TO_BUY,action_to_buy,To Buy,action_scene,universal,img__action_to_buy__v1.webp,1024x1024,digital_art_flat_v3,clean studio with floor shadow,"An adult person performing ""to buy"" in a natural dynamic pose, clean modern digital illustration, semi-realistic proportions, soft gradients, centered composition, clean studio with floor shadow background, subtle natural facial expression, professional educational visual style, minimal clutter, not cartoon, not chibi, not mascot, no text, no letters, no numerals, no logos, no watermark, no border, output size 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,v3_reference_style_size_2026-02-15
IMG_ACTION_TO_CALL,action_to_call,To Call,action_scene,universal,img__action_to_call__v1.webp,1024x1024,digital_art_flat_v3,simple indoor scene minimal props,"An adult person performing ""to call"" in a natural dynamic pose, clean modern digital illustration, semi-realistic proportions, soft gradients, centered composition, simple indoor scene minimal props background, subtle natural facial expression, professional educational visual style, minimal clutter, not cartoon, not chibi, not mascot, no text, no letters, no numerals, no logos, no watermark, no border, output size 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,v3_reference_style_size_2026-02-15
IMG_ACTION_TO_CLOSE,action_to_close,To Close,action_scene,universal,img__action_to_close__v1.webp,1024x1024,digital_art_flat_v3,soft outdoor neutral scene,"An adult person performing ""to close"" in a natural dynamic pose, clean modern digital illustration, semi-realistic proportions, soft gradients, centered composition, soft outdoor neutral scene background, subtle natural facial expression, professional educational visual style, minimal clutter, not cartoon, not chibi, not mascot, no text, no letters, no numerals, no logos, no watermark, no border, output size 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,v3_reference_style_size_2026-02-15
IMG_ACTION_TO_COME,action_to_come,To Come,action_scene,universal,img__action_to_come__v1.webp,1024x1024,digital_art_flat_v3,minimal office-like scene,"An adult person performing ""to come"" in a natural dynamic pose, clean modern digital illustration, semi-realistic proportions, soft gradients, centered composition, minimal office-like scene background, subtle natural facial expression, professional educational visual style, minimal clutter, not cartoon, not chibi, not mascot, no text, no letters, no numerals, no logos, no watermark, no border, output size 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,v3_reference_style_size_2026-02-15
IMG_ACTION_TO_COMPARE,action_to_compare,To Compare,action_scene,universal,img__action_to_compare__v1.webp,1024x1024,digital_art_flat_v3,soft outdoor neutral scene,"An adult person performing ""to compare"" in a natural dynamic pose, clean modern digital illustration, semi-realistic proportions, soft gradients, centered composition, soft outdoor neutral scene background, subtle natural facial expression, professional educational visual style, minimal clutter, not cartoon, not chibi, not mascot, no text, no letters, no numerals, no logos, no watermark, no border, output size 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,v3_reference_style_size_2026-02-15
IMG_ACTION_TO_DO,action_to_do,To Do,action_scene,universal,img__action_to_do__v1.webp,1024x1024,digital_art_flat_v3,simple indoor scene minimal props,"An adult person performing ""to do"" in a natural dynamic pose, clean modern digital illustration, semi-realistic proportions, soft gradients, centered composition, simple indoor scene minimal props background, subtle natural facial expression, professional educational visual style, minimal clutter, not cartoon, not chibi, not mascot, no text, no letters, no numerals, no logos, no watermark, no border, output size 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,2,v3_reference_style_size_2026-02-15
IMG_ACTION_TO_DRINK,action_to_drink,To Drink,action_scene,universal,img__action_to_drink__v1.webp,1024x1024,digital_art_flat_v3,soft neutral gradient,"Adult person drinking from a glass/cup in a natural pose, natural anatomy and proportions, modern premium digital art, semi-realistic rendering, smooth gradient shading, clean warm-neutral background, centered composition, high clarity, educational visual style, no cartoon, no mascot, no chibi, no text, no letters, no numerals, no logos, no watermark, no border, output size 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,v3_reference_style_size_2026-02-15
IMG_ACTION_TO_DRIVE,action_to_drive,To Drive,action_scene,universal,img__action_to_drive__v1.webp,1024x1024,digital_art_flat_v3,simple indoor scene minimal props,"An adult person performing ""to drive"" in a natural dynamic pose, clean modern digital illustration, semi-realistic proportions, soft gradients, centered composition, simple indoor scene minimal props background, subtle natural facial expression, professional educational visual style, minimal clutter, not cartoon, not chibi, not mascot, no text, no letters, no numerals, no logos, no watermark, no border, output size 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,v3_reference_style_size_2026-02-15
