[1/5] Running DeepSeek translation agents...
[localization_shard_0001.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0002.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0003.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0004.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0005.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0006.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0007.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0008.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0009.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0010.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0011.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0012.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0013.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0014.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0015.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0016.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0017.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0018.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0019.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0020.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0021.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0022.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0023.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0024.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0025.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0026.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0027.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0028.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0029.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0030.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0031.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0032.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0033.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0034.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0035.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0036.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0037.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0038.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0039.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0040.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0041.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0042.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0043.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0044.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0045.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0046.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0047.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0048.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0049.json] Processing 130/130 jobs (Streaming)...
[localization_shard_0050.json] Processing 122/122 jobs (Streaming)...
