image_id,concept_key,name_en,category,cultural_context,filename,image_size,style,background_style,prompt_en,reusable_for,linked_sense_count,prompt_template_version
IMG_ABSTRACT_ANGRY,abstract_angry,Angry,symbol_abstract,universal,img__abstract_angry__v1.webp,1024x1024,digital_art_premium_v5_neutral,neutral light-gray gradient,"A clear visual for ""Angry"", premium digital art illustration, clean sharp vector-inspired edges, crisp soft directional lighting, subtle depth, centered single subject, neutral light-gray gradient background, minimal clutter, professional learning-app quality, non-cartoon look, no text, no letters, no numerals, no logos, no watermark, no border, 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,v5_premium_neutral
IMG_ABSTRACT_HAPPY,abstract_happy,Happy,symbol_abstract,universal,img__abstract_happy__v1.webp,1024x1024,digital_art_premium_v5_neutral,neutral light-gray gradient,"A clear visual for ""Happy"", premium digital art illustration, clean sharp vector-inspired edges, crisp soft directional lighting, subtle depth, centered single subject, neutral light-gray gradient background, minimal clutter, professional learning-app quality, non-cartoon look, no text, no letters, no numerals, no logos, no watermark, no border, 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,v5_premium_neutral
IMG_ABSTRACT_LOVE,abstract_love,Love,symbol_abstract,universal,img__abstract_love__v1.webp,1024x1024,digital_art_premium_v5_neutral,neutral light-gray gradient,"A clear visual for ""Love"", premium digital art illustration, clean sharp vector-inspired edges, crisp soft directional lighting, subtle depth, centered single subject, neutral light-gray gradient background, minimal clutter, professional learning-app quality, non-cartoon look, no text, no letters, no numerals, no logos, no watermark, no border, 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,v5_premium_neutral
IMG_ABSTRACT_THANK_YOU,abstract_thank_you,Thank You,symbol_abstract,universal,img__abstract_thank_you__v1.webp,1024x1024,digital_art_premium_v5_neutral,neutral light-gray gradient,"A clear visual for ""Thank You"", premium digital art illustration, clean sharp vector-inspired edges, crisp soft directional lighting, subtle depth, centered single subject, neutral light-gray gradient background, minimal clutter, professional learning-app quality, non-cartoon look, no text, no letters, no numerals, no logos, no watermark, no border, 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,v5_premium_neutral
IMG_ACTION_BE_ABLE_TO,action_be_able_to,Be Able To,action_scene,universal,img__action_be_able_to__v1.webp,1024x1024,digital_art_premium_v5_neutral,neutral light-gray gradient,"A clear visual for ""Be Able To"", premium digital art illustration, clean sharp vector-inspired edges, crisp soft directional lighting, subtle depth, centered single subject, neutral light-gray gradient background, minimal clutter, professional learning-app quality, non-cartoon look, no text, no letters, no numerals, no logos, no watermark, no border, 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,v5_premium_neutral
IMG_ACTION_MAKE_A_PHONE_CALL,action_make_a_phone_call,Make A Phone Call,action_scene,universal,img__action_make_a_phone_call__v1.webp,1024x1024,digital_art_premium_v5_neutral,neutral light-gray gradient,"A clear visual for ""Make A Phone Call"", premium digital art illustration, clean sharp vector-inspired edges, crisp soft directional lighting, subtle depth, centered single subject, neutral light-gray gradient background, minimal clutter, professional learning-app quality, non-cartoon look, no text, no letters, no numerals, no logos, no watermark, no border, 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,v5_premium_neutral
IMG_ACTION_SWIM_POOL,action_swim_pool,Swim Pool,action_scene,universal,img__action_swim_pool__v1.webp,1024x1024,digital_art_premium_v5_neutral,neutral light-gray gradient,"A clear visual for ""Swim Pool"", premium digital art illustration, clean sharp vector-inspired edges, crisp soft directional lighting, subtle depth, centered single subject, neutral light-gray gradient background, minimal clutter, professional learning-app quality, non-cartoon look, no text, no letters, no numerals, no logos, no watermark, no border, 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,0,v5_premium_neutral
IMG_ACTION_TO_ARRIVE,action_to_arrive,To Arrive,action_scene,universal,img__action_to_arrive__v1.webp,1024x1024,digital_art_premium_v5_neutral,neutral light-gray gradient,"A clear visual for ""To Arrive"", premium digital art illustration, clean sharp vector-inspired edges, crisp soft directional lighting, subtle depth, centered single subject, neutral light-gray gradient background, minimal clutter, professional learning-app quality, non-cartoon look, no text, no letters, no numerals, no logos, no watermark, no border, 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,2,v5_premium_neutral
IMG_ACTION_TO_ASK,action_to_ask,To Ask,action_scene,universal,img__action_to_ask__v1.webp,1024x1024,digital_art_premium_v5_neutral,neutral light-gray gradient,"A clear visual for ""To Ask"", premium digital art illustration, clean sharp vector-inspired edges, crisp soft directional lighting, subtle depth, centered single subject, neutral light-gray gradient background, minimal clutter, professional learning-app quality, non-cartoon look, no text, no letters, no numerals, no logos, no watermark, no border, 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,v5_premium_neutral
IMG_ACTION_TO_BE,action_to_be,To Be,action_scene,universal,img__action_to_be__v1.webp,1024x1024,digital_art_premium_v5_neutral,neutral light-gray gradient,"A clear visual for ""To Be"", premium digital art illustration, clean sharp vector-inspired edges, crisp soft directional lighting, subtle depth, centered single subject, neutral light-gray gradient background, minimal clutter, professional learning-app quality, non-cartoon look, no text, no letters, no numerals, no logos, no watermark, no border, 1024x1024",language_learning|cross_language_vocabulary|reading_comprehension|listening_comprehension,1,v5_premium_neutral
