image_id,category,concept_key,name_en,current_filename,recommended_filename,semantic_category,semantic_subcategory,semantic_concept,semantic_variant,rename_action
IMG_ABSTRACT_ANGRY,symbol_abstract,abstract_angry,Angry,img__abstract_angry__v1.webp,symbol_emotion_angry_storm_001.webp,symbol,emotion,angry,storm,rename
IMG_ABSTRACT_HAPPY,symbol_abstract,abstract_happy,Happy,img__abstract_happy__v1.webp,symbol_emotion_happy_sun_001.webp,symbol,emotion,happy,sun,rename
IMG_ABSTRACT_LOVE,symbol_abstract,abstract_love,Love,img__abstract_love__v1.webp,symbol_emotion_love_heart_001.webp,symbol,emotion,love,heart,rename
IMG_ABSTRACT_THANK_YOU,symbol_abstract,abstract_thank_you,Thank You,img__abstract_thank_you__v1.webp,symbol_emotion_thank_you_open_hand_001.webp,symbol,emotion,thank_you,open_hand,rename
IMG_ACTION_BE_ABLE_TO,action_scene,action_be_able_to,Be Able To,img__action_be_able_to__v1.webp,action_general_be_able_to_side_001.webp,action,general,be_able_to,side,rename
IMG_ACTION_MAKE_A_PHONE_CALL,action_scene,action_make_a_phone_call,Make A Phone Call,img__action_make_a_phone_call__v1.webp,action_communication_make_a_phone_call_side_001.webp,action,communication,make_a_phone_call,side,rename
IMG_ACTION_TO_ARRIVE,action_scene,action_to_arrive,To Arrive,img__action_to_arrive__v1.webp,action_motion_arrive_side_001.webp,action,motion,arrive,side,rename
IMG_ACTION_TO_ASK,action_scene,action_to_ask,To Ask,img__action_to_ask__v1.webp,action_communication_ask_side_001.webp,action,communication,ask,side,rename
IMG_ACTION_TO_BE,action_scene,action_to_be,To Be,img__action_to_be__v1.webp,action_general_be_side_001.webp,action,general,be,side,rename
IMG_ACTION_TO_BE_CALLED,action_scene,action_to_be_called,To Be Called,img__action_to_be_called__v1.webp,action_general_be_called_side_001.webp,action,general,be_called,side,rename
IMG_ACTION_TO_BE_ILL,action_scene,action_to_be_ill,To Be Ill,img__action_to_be_ill__v1.webp,action_general_be_ill_side_001.webp,action,general,be_ill,side,rename
IMG_ACTION_TO_BUY,action_scene,action_to_buy,To Buy,img__action_to_buy__v1.webp,action_daily_buy_side_001.webp,action,daily,buy,side,rename
IMG_ACTION_TO_CALL,action_scene,action_to_call,To Call,img__action_to_call__v1.webp,action_communication_call_side_001.webp,action,communication,call,side,rename
IMG_ACTION_TO_CLOSE,action_scene,action_to_close,To Close,img__action_to_close__v1.webp,action_general_close_side_001.webp,action,general,close,side,rename
IMG_ACTION_TO_COME,action_scene,action_to_come,To Come,img__action_to_come__v1.webp,action_motion_come_side_001.webp,action,motion,come,side,rename
IMG_ACTION_TO_COMPARE,action_scene,action_to_compare,To Compare,img__action_to_compare__v1.webp,action_general_compare_side_001.webp,action,general,compare,side,rename
IMG_ACTION_TO_DO,action_scene,action_to_do,To Do,img__action_to_do__v1.webp,action_general_do_side_001.webp,action,general,do,side,rename
IMG_ACTION_TO_DRINK,action_scene,action_to_drink,To Drink,img__action_to_drink__v1.webp,action_daily_drink_side_001.webp,action,daily,drink,side,rename
IMG_ACTION_TO_DRIVE,action_scene,action_to_drive,To Drive,img__action_to_drive__v1.webp,action_general_drive_side_001.webp,action,general,drive,side,rename
IMG_ACTION_TO_DRIVE_A_CAR,action_scene,action_to_drive_a_car,To Drive A Car,img__action_to_drive_a_car__v1.webp,action_general_drive_a_car_side_001.webp,action,general,drive_a_car,side,rename
IMG_ACTION_TO_EAT,action_scene,action_to_eat,To Eat,img__action_to_eat__v1.webp,action_daily_eat_side_001.webp,action,daily,eat,side,rename
IMG_ACTION_TO_ENTER,action_scene,action_to_enter,To Enter,img__action_to_enter__v1.webp,action_general_enter_side_001.webp,action,general,enter,side,rename
IMG_ACTION_TO_FEEL,action_scene,action_to_feel,To Feel,img__action_to_feel__v1.webp,action_general_feel_side_001.webp,action,general,feel,side,rename
IMG_ACTION_TO_FIND,action_scene,action_to_find,To Find,img__action_to_find__v1.webp,action_general_find_side_001.webp,action,general,find,side,rename
IMG_ACTION_TO_FLY,action_scene,action_to_fly,To Fly,img__action_to_fly__v1.webp,action_general_fly_side_001.webp,action,general,fly,side,rename
IMG_ACTION_TO_FOLLOW,action_scene,action_to_follow,To Follow,img__action_to_follow__v1.webp,action_general_follow_side_001.webp,action,general,follow,side,rename
IMG_ACTION_TO_FORGET,action_scene,action_to_forget,To Forget,img__action_to_forget__v1.webp,action_general_forget_side_001.webp,action,general,forget,side,rename
IMG_ACTION_TO_GIVE,action_scene,action_to_give,To Give,img__action_to_give__v1.webp,action_general_give_side_001.webp,action,general,give,side,rename
IMG_ACTION_TO_GIVE_AS_A_GIFT,action_scene,action_to_give_as_a_gift,To Give As A Gift,img__action_to_give_as_a_gift__v1.webp,action_general_give_as_a_gift_side_001.webp,action,general,give_as_a_gift,side,rename
IMG_ACTION_TO_GO,action_scene,action_to_go,To Go,img__action_to_go__v1.webp,action_motion_go_side_001.webp,action,motion,go,side,rename
IMG_ACTION_TO_GO_BACK,action_scene,action_to_go_back,To Go Back,img__action_to_go_back__v1.webp,action_motion_go_back_side_001.webp,action,motion,go_back,side,rename
IMG_ACTION_TO_GO_IN,action_scene,action_to_go_in,To Go In,img__action_to_go_in__v1.webp,action_motion_go_in_side_001.webp,action,motion,go_in,side,rename
IMG_ACTION_TO_GO_OUT,action_scene,action_to_go_out,To Go Out,img__action_to_go_out__v1.webp,action_motion_go_out_side_001.webp,action,motion,go_out,side,rename
IMG_ACTION_TO_HAVE,action_scene,action_to_have,To Have,img__action_to_have__v1.webp,action_general_have_side_001.webp,action,general,have,side,rename
IMG_ACTION_TO_HEAR,action_scene,action_to_hear,To Hear,img__action_to_hear__v1.webp,action_communication_hear_side_001.webp,action,communication,hear,side,rename
IMG_ACTION_TO_HELP,action_scene,action_to_help,To Help,img__action_to_help__v1.webp,action_general_help_side_001.webp,action,general,help,side,rename
IMG_ACTION_TO_HIT_OR_STRIKE,action_scene,action_to_hit_or_strike,To Hit Or Strike,img__action_to_hit_or_strike__v1.webp,action_general_hit_or_strike_side_001.webp,action,general,hit_or_strike,side,rename
IMG_ACTION_TO_HOLD,action_scene,action_to_hold,To Hold,img__action_to_hold__v1.webp,action_general_hold_side_001.webp,action,general,hold,side,rename
IMG_ACTION_TO_JOKE,action_scene,action_to_joke,To Joke,img__action_to_joke__v1.webp,action_general_joke_side_001.webp,action,general,joke,side,rename
IMG_ACTION_TO_KNOW,action_scene,action_to_know,To Know,img__action_to_know__v1.webp,action_general_know_side_001.webp,action,general,know,side,rename
IMG_ACTION_TO_LAUGH,action_scene,action_to_laugh,To Laugh,img__action_to_laugh__v1.webp,action_general_laugh_side_001.webp,action,general,laugh,side,rename
IMG_ACTION_TO_LEARN,action_scene,action_to_learn,To Learn,img__action_to_learn__v1.webp,action_daily_learn_side_001.webp,action,daily,learn,side,rename
IMG_ACTION_TO_LIKE,action_scene,action_to_like,To Like,img__action_to_like__v1.webp,action_general_like_side_001.webp,action,general,like,side,rename
IMG_ACTION_TO_LISTEN,action_scene,action_to_listen,To Listen,img__action_to_listen__v1.webp,action_communication_listen_side_001.webp,action,communication,listen,side,rename
IMG_ACTION_TO_LIVE,action_scene,action_to_live,To Live,img__action_to_live__v1.webp,action_general_live_side_001.webp,action,general,live,side,rename
IMG_ACTION_TO_LOOK,action_scene,action_to_look,To Look,img__action_to_look__v1.webp,action_general_look_side_001.webp,action,general,look,side,rename
IMG_ACTION_TO_LOOK_FOR,action_scene,action_to_look_for,To Look For,img__action_to_look_for__v1.webp,action_general_look_for_side_001.webp,action,general,look_for,side,rename
IMG_ACTION_TO_MAKE,action_scene,action_to_make,To Make,img__action_to_make__v1.webp,action_general_make_side_001.webp,action,general,make,side,rename
IMG_ACTION_TO_MOVE,action_scene,action_to_move,To Move,img__action_to_move__v1.webp,action_motion_move_side_001.webp,action,motion,move,side,rename
IMG_ACTION_TO_OBTAIN,action_scene,action_to_obtain,To Obtain,img__action_to_obtain__v1.webp,action_general_obtain_side_001.webp,action,general,obtain,side,rename
IMG_ACTION_TO_OPEN,action_scene,action_to_open,To Open,img__action_to_open__v1.webp,action_general_open_side_001.webp,action,general,open,side,rename
IMG_ACTION_TO_PASS,action_scene,action_to_pass,To Pass,img__action_to_pass__v1.webp,action_general_pass_side_001.webp,action,general,pass,side,rename
IMG_ACTION_TO_PLACE,action_scene,action_to_place,To Place,img__action_to_place__v1.webp,action_general_place_side_001.webp,action,general,place,side,rename
IMG_ACTION_TO_PLAY,action_scene,action_to_play,To Play,img__action_to_play__v1.webp,action_daily_play_side_001.webp,action,daily,play,side,rename
IMG_ACTION_TO_PUT_DOWN,action_scene,action_to_put_down,To Put Down,img__action_to_put_down__v1.webp,action_general_put_down_side_001.webp,action,general,put_down,side,rename
IMG_ACTION_TO_RAIN,action_scene,action_to_rain,To Rain,img__action_to_rain__v1.webp,action_general_rain_side_001.webp,action,general,rain,side,rename
IMG_ACTION_TO_READ,action_scene,action_to_read,To Read,img__action_to_read__v1.webp,action_communication_read_side_001.webp,action,communication,read,side,rename
IMG_ACTION_TO_RECOGNIZE,action_scene,action_to_recognize,To Recognize,img__action_to_recognize__v1.webp,action_general_recognize_side_001.webp,action,general,recognize,side,rename
IMG_ACTION_TO_REMEMBER,action_scene,action_to_remember,To Remember,img__action_to_remember__v1.webp,action_general_remember_side_001.webp,action,general,remember,side,rename
IMG_ACTION_TO_RETURN,action_scene,action_to_return,To Return,img__action_to_return__v1.webp,action_motion_return_side_001.webp,action,motion,return,side,rename
IMG_ACTION_TO_RISE,action_scene,action_to_rise,To Rise,img__action_to_rise__v1.webp,action_motion_rise_side_001.webp,action,motion,rise,side,rename
IMG_ACTION_TO_RISE_UP,action_scene,action_to_rise_up,To Rise Up,img__action_to_rise_up__v1.webp,action_motion_rise_up_side_001.webp,action,motion,rise_up,side,rename
IMG_ACTION_TO_RUN,action_scene,action_to_run,To Run,img__action_to_run__v1.webp,action_motion_run_side_001.webp,action,motion,run,side,rename
IMG_ACTION_TO_SEE,action_scene,action_to_see,To See,img__action_to_see__v1.webp,action_general_see_side_001.webp,action,general,see,side,rename
IMG_ACTION_TO_SING,action_scene,action_to_sing,To Sing,img__action_to_sing__v1.webp,action_communication_sing_side_001.webp,action,communication,sing,side,rename
IMG_ACTION_TO_SIT,action_scene,action_to_sit,To Sit,img__action_to_sit__v1.webp,action_motion_sit_side_001.webp,action,motion,sit,side,rename
IMG_ACTION_TO_SLEEP,action_scene,action_to_sleep,To Sleep,img__action_to_sleep__v1.webp,action_daily_sleep_side_001.webp,action,daily,sleep,side,rename
IMG_ACTION_TO_SPEAK,action_scene,action_to_speak,To Speak,img__action_to_speak__v1.webp,action_communication_speak_side_001.webp,action,communication,speak,side,rename
IMG_ACTION_TO_SPEND,action_scene,action_to_spend,To Spend,img__action_to_spend__v1.webp,action_general_spend_side_001.webp,action,general,spend,side,rename
IMG_ACTION_TO_STAND,action_scene,action_to_stand,To Stand,img__action_to_stand__v1.webp,action_motion_stand_side_001.webp,action,motion,stand,side,rename
IMG_ACTION_TO_STAY,action_scene,action_to_stay,To Stay,img__action_to_stay__v1.webp,action_general_stay_side_001.webp,action,general,stay,side,rename
IMG_ACTION_TO_STUDY_OR_LEARN,action_scene,action_to_study_or_learn,To Study Or Learn,img__action_to_study_or_learn__v1.webp,action_daily_study_or_learn_side_001.webp,action,daily,study_or_learn,side,rename
IMG_ACTION_TO_TAKE,action_scene,action_to_take,To Take,img__action_to_take__v1.webp,action_general_take_side_001.webp,action,general,take,side,rename
IMG_ACTION_TO_TAKE_A_VEHICLE,action_scene,action_to_take_a_vehicle,To Take (A Vehicle),img__action_to_take_a_vehicle__v1.webp,action_general_take_a_vehicle_side_001.webp,action,general,take_a_vehicle,side,rename
IMG_ACTION_TO_TALK,action_scene,action_to_talk,To Talk,img__action_to_talk__v1.webp,action_communication_talk_side_001.webp,action,communication,talk,side,rename
IMG_ACTION_TO_TEACH,action_scene,action_to_teach,To Teach,img__action_to_teach__v1.webp,action_general_teach_side_001.webp,action,general,teach,side,rename
IMG_ACTION_TO_TELL,action_scene,action_to_tell,To Tell,img__action_to_tell__v1.webp,action_communication_tell_side_001.webp,action,communication,tell,side,rename
IMG_ACTION_TO_THINK,action_scene,action_to_think,To Think,img__action_to_think__v1.webp,action_general_think_side_001.webp,action,general,think,side,rename
IMG_ACTION_TO_TRY_OR_TEST,action_scene,action_to_try_or_test,To Try Or Test,img__action_to_try_or_test__v1.webp,action_general_try_or_test_side_001.webp,action,general,try_or_test,side,rename
IMG_ACTION_TO_TURN_OFF,action_scene,action_to_turn_off,To Turn Off,img__action_to_turn_off__v1.webp,action_general_turn_off_side_001.webp,action,general,turn_off,side,rename
IMG_ACTION_TO_UNDERSTAND,action_scene,action_to_understand,To Understand,img__action_to_understand__v1.webp,action_general_understand_side_001.webp,action,general,understand,side,rename
IMG_ACTION_TO_USE,action_scene,action_to_use,To Use,img__action_to_use__v1.webp,action_general_use_side_001.webp,action,general,use,side,rename
IMG_ACTION_TO_WAIT,action_scene,action_to_wait,To Wait,img__action_to_wait__v1.webp,action_general_wait_side_001.webp,action,general,wait,side,rename
IMG_ACTION_TO_WALK,action_scene,action_to_walk,To Walk,img__action_to_walk__v1.webp,action_motion_walk_side_001.webp,action,motion,walk,side,rename
IMG_ACTION_TO_WALK_OR_MOVE,action_scene,action_to_walk_or_move,To Walk Or Move,img__action_to_walk_or_move__v1.webp,action_motion_walk_or_move_side_001.webp,action,motion,walk_or_move,side,rename
IMG_ACTION_TO_WANT,action_scene,action_to_want,To Want,img__action_to_want__v1.webp,action_general_want_side_001.webp,action,general,want,side,rename
IMG_ACTION_TO_WASH,action_scene,action_to_wash,To Wash,img__action_to_wash__v1.webp,action_daily_wash_side_001.webp,action,daily,wash,side,rename
IMG_ACTION_TO_WATCH,action_scene,action_to_watch,To Watch,img__action_to_watch__v1.webp,action_general_watch_side_001.webp,action,general,watch,side,rename
IMG_ACTION_TO_WEAR,action_scene,action_to_wear,To Wear,img__action_to_wear__v1.webp,action_daily_wear_side_001.webp,action,daily,wear,side,rename
IMG_ACTION_TO_WRAP_OR_CONTAIN,action_scene,action_to_wrap_or_contain,To Wrap Or Contain,img__action_to_wrap_or_contain__v1.webp,action_general_wrap_or_contain_side_001.webp,action,general,wrap_or_contain,side,rename
IMG_ACTION_TO_WRITE,action_scene,action_to_write,To Write,img__action_to_write__v1.webp,action_communication_write_side_001.webp,action,communication,write,side,rename
IMG_CULTURE_YUAN,cultural_specific,culture_yuan,Yuan,img__culture_yuan__v1.webp,cultural_chinese_yuan_authentic_001.webp,cultural,chinese,yuan,authentic,rename
IMG_GRAMMAR_A_GENERAL_MEASURE_WORD,icon_grammar,grammar_a_general_measure_word,A General Measure Word,img__grammar_a_general_measure_word__v1.webp,icon_grammar_a_general_measure_word_icon_001.webp,icon,grammar,a_general_measure_word,icon,rename
IMG_GRAMMAR_A_PARTICLE_INDICATING_SUGGESTION_OR_REQUEST,icon_grammar,grammar_a_particle_indicating_suggestion_or_request,A Particle Indicating Suggestion Or Request,img__grammar_a_particle_indicating_suggestion_or_request__v1.webp,icon_grammar_a_particle_indicating_suggestion_or_request_icon_001.webp,icon,grammar,a_particle_indicating_suggestion_or_request,icon,rename
IMG_GRAMMAR_ALL,icon_grammar,grammar_all,All,img__grammar_all__v1.webp,icon_grammar_all_icon_001.webp,icon,grammar,all,icon,rename
IMG_GRAMMAR_BOTH,icon_grammar,grammar_both,Both,img__grammar_both__v1.webp,icon_grammar_both_icon_001.webp,icon,grammar,both,icon,rename
IMG_GRAMMAR_HOW_MANY,icon_grammar,grammar_how_many,How Many,img__grammar_how_many__v1.webp,icon_grammar_how_many_icon_001.webp,icon,grammar,how_many,icon,rename
IMG_GRAMMAR_HOW_MUCH,icon_grammar,grammar_how_much,How Much,img__grammar_how_much__v1.webp,icon_grammar_how_much_icon_001.webp,icon,grammar,how_much,icon,rename
IMG_GRAMMAR_MEASURE_WORD,icon_grammar,grammar_measure_word,Measure Word,img__grammar_measure_word__v1.webp,icon_grammar_measure_word_icon_001.webp,icon,grammar,measure_word,icon,rename
IMG_GRAMMAR_MEASURE_WORD_FOR_BOOKS,icon_grammar,grammar_measure_word_for_books,Measure Word For Books,img__grammar_measure_word_for_books__v1.webp,icon_grammar_measure_word_for_books_icon_001.webp,icon,grammar,measure_word_for_books,icon,rename
IMG_GRAMMAR_NO,icon_grammar,grammar_no,No,img__grammar_no__v1.webp,icon_grammar_no_icon_001.webp,icon,grammar,no,icon,rename
IMG_GRAMMAR_NOT,icon_grammar,grammar_not,Not,img__grammar_not__v1.webp,icon_grammar_not_icon_001.webp,icon,grammar,not,icon,rename
IMG_GRAMMAR_PLURAL_MARKER_FOR_PRONOUNS,icon_grammar,grammar_plural_marker_for_pronouns,Plural Marker For Pronouns,img__grammar_plural_marker_for_pronouns__v1.webp,icon_grammar_plural_marker_for_pronouns_icon_001.webp,icon,grammar,plural_marker_for_pronouns,icon,rename
IMG_GRAMMAR_POSSESSIVE_PARTICLE,icon_grammar,grammar_possessive_particle,Possessive Particle,img__grammar_possessive_particle__v1.webp,icon_grammar_possessive_particle_icon_001.webp,icon,grammar,possessive_particle,icon,rename
